Rk,Player,Season,Age,Tm,Lg,TRB,AST,STL,BLK,TOV,PTS,TS%
1,Michael Jordan\jordami01,1995-96,32,CHI,NBA,6.6,4.3,2.2,0.5,2.4,30.4,.582
2,LeBron James\jamesle01,2008-09,24,CLE,NBA,7.6,7.2,1.7,1.1,3.0,28.4,.591
3,Michael Jordan\jordami01,1990-91,27,CHI,NBA,6.0,5.5,2.7,1.0,2.5,31.5,.605
4,David Robinson\robinda01,1993-94,28,SAS,NBA,10.7,4.8,1.7,3.3,3.2,29.8,.577
5,LeBron James\jamesle01,2012-13,28,MIA,NBA,8.0,7.3,1.7,0.9,3.0,26.8,.640
6,Kevin Durant\duranke01,2013-14,25,OKC,NBA,7.4,5.5,1.3,0.7,3.5,32.0,.635
7,Kevin Durant\duranke01,2012-13,24,OKC,NBA,7.9,4.6,1.4,1.3,3.5,28.1,.647
8,Shaquille O'Neal\onealsh01,1999-00,27,LAL,NBA,13.6,3.8,0.5,3.0,2.8,29.7,.578
9,LeBron James\jamesle01,2009-10,25,CLE,NBA,7.3,8.6,1.6,1.0,3.4,29.7,.604
10,Kevin Garnett\garneke01,2003-04,27,MIN,NBA,13.9,5.0,1.5,2.2,2.6,24.2,.547
11,Michael Jordan\jordami01,1996-97,33,CHI,NBA,5.9,4.3,1.7,0.5,2.0,29.6,.567
12,Chris Paul\paulch01,2008-09,23,NOH,NBA,5.5,11.0,2.8,0.1,3.0,22.8,.599
13,David Robinson\robinda01,1995-96,30,SAS,NBA,12.2,3.0,1.4,3.3,2.3,25.0,.589
14,Stephen Curry\curryst01,2015-16,27,GSW,NBA,5.4,6.7,2.1,0.2,3.3,30.1,.669
15,Tim Duncan\duncati01,2001-02,25,SAS,NBA,12.7,3.7,0.7,2.5,3.2,25.5,.576
16,Chris Paul\paulch01,2007-08,22,NOH,NBA,4.0,11.6,2.7,0.1,2.5,21.1,.576
17,Michael Jordan\jordami01,1991-92,28,CHI,NBA,6.4,6.1,2.3,0.9,2.5,30.1,.579
18,Dirk Nowitzki\nowitdi01,2005-06,27,DAL,NBA,9.0,2.8,0.7,1.0,1.9,26.6,.589
19,David Robinson\robinda01,1994-95,29,SAS,NBA,10.8,2.9,1.7,3.2,2.9,27.6,.602
20,Michael Jordan\jordami01,1992-93,29,CHI,NBA,6.7,5.5,2.8,0.8,2.7,32.6,.564
21,David Robinson\robinda01,1990-91,25,SAS,NBA,13.0,2.5,1.5,3.9,3.3,25.6,.615
22,Shaquille O'Neal\onealsh01,1993-94,21,ORL,NBA,13.2,2.4,0.9,2.9,2.7,29.3,.605
23,Karl Malone\malonka01,1996-97,33,UTA,NBA,9.9,4.5,1.4,0.6,2.8,27.4,.600
24,Tim Duncan\duncati01,2002-03,26,SAS,NBA,12.9,3.9,0.7,2.9,3.1,23.3,.564
25,James Harden\hardeja01,2014-15,25,HOU,NBA,5.7,7.0,1.9,0.7,4.0,27.4,.605
26,Karl Malone\malonka01,1997-98,34,UTA,NBA,10.3,3.9,1.2,0.9,3.0,27.0,.597
27,LeBron James\jamesle01,2005-06,21,CLE,NBA,7.0,6.6,1.6,0.8,3.3,31.4,.568
28,Dirk Nowitzki\nowitdi01,2006-07,28,DAL,NBA,8.9,3.4,0.7,0.8,2.1,24.6,.605
29,Kevin Durant\duranke01,2009-10,21,OKC,NBA,7.6,2.8,1.4,1.0,3.3,30.1,.607
30,Kevin Garnett\garneke01,2004-05,28,MIN,NBA,13.5,5.7,1.5,1.4,2.7,22.2,.567
31,Tracy McGrady\mcgratr01,2002-03,23,ORL,NBA,6.5,5.5,1.7,0.8,2.6,32.1,.564
32,Dirk Nowitzki\nowitdi01,2002-03,24,DAL,NBA,9.9,3.0,1.4,1.0,1.9,25.1,.581
33,Chris Paul\paulch01,2014-15,29,LAC,NBA,4.6,10.2,1.9,0.2,2.3,19.1,.596
34,LeBron James\jamesle01,2013-14,29,MIA,NBA,6.9,6.3,1.6,0.3,3.5,27.1,.649
35,Michael Jordan\jordami01,1997-98,34,CHI,NBA,5.8,3.5,1.7,0.5,2.3,28.7,.533
36,Hakeem Olajuwon\olajuha01,1992-93,30,HOU,NBA,13.0,3.5,1.8,4.2,3.2,26.1,.577
37,Stephen Curry\curryst01,2014-15,26,GSW,NBA,4.3,7.7,2.0,0.2,3.1,23.8,.638
38,Kevin Garnett\garneke01,2002-03,26,MIN,NBA,13.4,6.0,1.4,1.6,2.8,23.0,.553
39,LeBron James\jamesle01,2010-11,26,MIA,NBA,7.5,7.0,1.6,0.6,3.6,26.7,.594
40,Dirk Nowitzki\nowitdi01,2004-05,26,DAL,NBA,9.7,3.1,1.2,1.5,2.3,26.1,.578
41,Chauncey Billups\billuch01,2005-06,29,DET,NBA,3.1,8.6,0.9,0.1,2.1,18.5,.602
42,Karl Malone\malonka01,1990-91,27,UTA,NBA,11.8,3.3,1.1,1.0,3.0,29.0,.596
43,James Harden\hardeja01,2017-18,28,HOU,NBA,5.4,8.8,1.8,0.7,4.4,30.4,.619
44,Magic Johnson\johnsma02,1990-91,31,LAL,NBA,7.0,12.5,1.3,0.2,4.0,19.4,.623
45,Karl Malone\malonka01,1992-93,29,UTA,NBA,11.2,3.8,1.5,1.0,2.9,27.0,.612
46,Kobe Bryant\bryanko01,2005-06,27,LAL,NBA,5.3,4.5,1.8,0.4,3.1,35.4,.559
